flashscore_match_id,match_url,home_team,away_team,date_ddmm,kickoff_time,time_raw
zwNinCpI,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/geylang-SGUUj41C/?mid=zwNinCpI,Geylang,Balestier Khalsa,09.01.,06:30,09.01. 06:30
r3QapjFU,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/young-lions-vsNto8vQ/?mid=r3QapjFU,Albirex Niigata,Young Lions,10.01.,06:30,10.01. 06:30
MTeA4g0n,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/tampines-KbVkFR8P/?mid=MTeA4g0n,Tampines,Lion City,11.01.,06:30,11.01. 06:30
fsfI2XUb,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/tanjong-pagar-tKuMJ4Mc/?mid=fsfI2XUb,Tanjong Pagar,Hougang,12.01.,06:30,12.01. 06:30
EqAJ0BaB,https://www.flashscore.com/match/football/tampines-KbVkFR8P/young-lions-vsNto8vQ/?mid=EqAJ0BaB,Tampines,Young Lions,16.01.,06:30,16.01. 06:30
Krxir3qp,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tanjong-pagar-tKuMJ4Mc/?mid=Krxir3qp,Albirex Niigata,Tanjong Pagar,17.01.,06:30,17.01. 06:30
84Io4p63,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/hougang-SA3Ytn2m/?mid=84Io4p63,Balestier Khalsa,Hougang,18.01.,06:30,18.01. 06:30
tbQatsEd,https://www.flashscore.com/match/football/geylang-SGUUj41C/lion-city-sailors-OnKeiOGI/?mid=tbQatsEd,Geylang,Lion City,18.01.,06:30,18.01. 06:30
23Bf2OzG,https://www.flashscore.com/match/football/geylang-SGUUj41C/tampines-KbVkFR8P/?mid=23Bf2OzG,Geylang,Tampines,23.01.,06:30,23.01. 06:30
zH92025S,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/lion-city-sailors-OnKeiOGI/?mid=zH92025S,Hougang,Lion City,24.01.,06:30,24.01. 06:30
f1jZftTk,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/balestier-khalsa-lK4UsSns/?mid=f1jZftTk,Balestier Khalsa,Albirex Niigata,25.01.,06:30,25.01. 06:30
2RgsgKc2,https://www.flashscore.com/match/football/tanjong-pagar-tKuMJ4Mc/young-lions-vsNto8vQ/?mid=2RgsgKc2,Young Lions,Tanjong Pagar,26.01.,06:30,26.01. 06:30
pjJR0WG8,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/young-lions-vsNto8vQ/?mid=pjJR0WG8,Hougang,Young Lions,30.01.,06:30,30.01. 06:30
IHWYbAoL,https://www.flashscore.com/match/football/tampines-KbVkFR8P/tanjong-pagar-tKuMJ4Mc/?mid=IHWYbAoL,Tampines,Tanjong Pagar,31.01.,06:30,31.01. 06:30
x2D5gl9r,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/lion-city-sailors-OnKeiOGI/?mid=x2D5gl9r,Lion City,Balestier Khalsa,01.02.,06:30,01.02. 06:30
AFBDiSwe,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/geylang-SGUUj41C/?mid=AFBDiSwe,Albirex Niigata,Geylang,02.02.,06:30,02.02. 06:30
6s5Mk687,https://www.flashscore.com/match/football/geylang-SGUUj41C/tanjong-pagar-tKuMJ4Mc/?mid=6s5Mk687,Tanjong Pagar,Geylang,06.02.,06:30,06.02. 06:30
WKd8D90E,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/tampines-KbVkFR8P/?mid=WKd8D90E,Balestier Khalsa,Tampines,07.02.,06:30,07.02. 06:30
hzoHBmVQ,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/young-lions-vsNto8vQ/?mid=hzoHBmVQ,Young Lions,Lion City,08.02.,06:30,08.02. 06:30
OIym6Rhl,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/hougang-SA3Ytn2m/?mid=OIym6Rhl,Albirex Niigata,Hougang,09.02.,06:30,09.02. 06:30
KpVe45N0,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/young-lions-vsNto8vQ/?mid=KpVe45N0,Balestier Khalsa,Young Lions,13.02.,06:30,13.02. 06:30
hbT32qhD,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tampines-KbVkFR8P/?mid=hbT32qhD,Tampines,Albirex Niigata,14.02.,06:30,14.02. 06:30
2POEKQ7s,https://www.flashscore.com/match/football/geylang-SGUUj41C/hougang-SA3Ytn2m/?mid=2POEKQ7s,Geylang,Hougang,15.02.,06:30,15.02. 06:30
WtYrQnpK,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/tanjong-pagar-tKuMJ4Mc/?mid=WtYrQnpK,Lion City,Tanjong Pagar,15.02.,06:30,15.02. 06:30
OvDNI4xf,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/geylang-SGUUj41C/?mid=OvDNI4xf,Balestier Khalsa,Geylang,20.02.,07:30,20.02. 07:30
W4GVGr76,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/young-lions-vsNto8vQ/?mid=W4GVGr76,Young Lions,Albirex Niigata,21.02.,07:30,21.02. 07:30
CEOwFMyJ,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/tampines-KbVkFR8P/?mid=CEOwFMyJ,Lion City,Tampines,22.02.,07:30,22.02. 07:30
2szkMwqn,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/tanjong-pagar-tKuMJ4Mc/?mid=2szkMwqn,Hougang,Tanjong Pagar,23.02.,07:30,23.02. 07:30
b9TcKHDb,https://www.flashscore.com/match/football/geylang-SGUUj41C/young-lions-vsNto8vQ/?mid=b9TcKHDb,Geylang,Young Lions,26.02.,07:30,26.02. 07:30
6ZW5IerB,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/tampines-KbVkFR8P/?mid=6ZW5IerB,Tampines,Hougang,27.02.,07:30,27.02. 07:30
SlLEGZCN,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/lion-city-sailors-OnKeiOGI/?mid=SlLEGZCN,Albirex Niigata,Lion City,28.02.,07:30,28.02. 07:30
xO6pBDzo,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/tanjong-pagar-tKuMJ4Mc/?mid=xO6pBDzo,Tanjong Pagar,Balestier Khalsa,01.03.,07:30,01.03. 07:30
hWlXYGSi,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tanjong-pagar-tKuMJ4Mc/?mid=hWlXYGSi,Tanjong Pagar,Albirex Niigata,06.03.,07:30,06.03. 07:30
QqmuXfc4,https://www.flashscore.com/match/football/tampines-KbVkFR8P/young-lions-vsNto8vQ/?mid=QqmuXfc4,Young Lions,Tampines,07.03.,07:30,07.03. 07:30
MBtlVYRG,https://www.flashscore.com/match/football/geylang-SGUUj41C/lion-city-sailors-OnKeiOGI/?mid=MBtlVYRG,Lion City,Geylang,08.03.,08:30,08.03. 08:30
S8qdTCdT,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/hougang-SA3Ytn2m/?mid=S8qdTCdT,Hougang,Balestier Khalsa,09.03.,08:30,09.03. 08:30
CtLSNjKj,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/young-lions-vsNto8vQ/?mid=CtLSNjKj,Young Lions,Hougang,14.03.,08:30,14.03. 08:30
zF6NqYtA,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/lion-city-sailors-OnKeiOGI/?mid=zF6NqYtA,Balestier Khalsa,Lion City,15.03.,08:30,15.03. 08:30
vmDEofCc,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/geylang-SGUUj41C/?mid=vmDEofCc,Geylang,Albirex Niigata,15.03.,08:30,15.03. 08:30
8S4VsCBM,https://www.flashscore.com/match/football/tampines-KbVkFR8P/tanjong-pagar-tKuMJ4Mc/?mid=8S4VsCBM,Tanjong Pagar,Tampines,16.03.,08:30,16.03. 08:30
0x2uWafK,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tampines-KbVkFR8P/?mid=0x2uWafK,Albirex Niigata,Tampines,22.03.,07:30,22.03. 07:30
xbNgxjZq,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tampines-KbVkFR8P/?mid=xbNgxjZq,Albirex Niigata,Tampines,04.04.,07:30,04.04. 07:30
pOQ1zU3d,https://www.flashscore.com/match/football/geylang-SGUUj41C/hougang-SA3Ytn2m/?mid=pOQ1zU3d,Hougang,Geylang,04.04.,07:30,04.04. 07:30
Yq7ddBQF,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/tanjong-pagar-tKuMJ4Mc/?mid=Yq7ddBQF,Lion City,Tanjong Pagar,05.04.,07:30,05.04. 07:30
QJ3lbXe3,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/young-lions-vsNto8vQ/?mid=QJ3lbXe3,Young Lions,Balestier Khalsa,05.04.,07:30,05.04. 07:30
Sr05fkeS,https://www.flashscore.com/match/football/tanjong-pagar-tKuMJ4Mc/young-lions-vsNto8vQ/?mid=Sr05fkeS,Tanjong Pagar,Young Lions,10.04.,07:30,10.04. 07:30
OEoykTIk,https://www.flashscore.com/match/football/geylang-SGUUj41C/tampines-KbVkFR8P/?mid=OEoykTIk,Tampines,Geylang,11.04.,07:30,11.04. 07:30
Ktupm7m2,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/lion-city-sailors-OnKeiOGI/?mid=Ktupm7m2,Lion City,Hougang,12.04.,07:30,12.04. 07:30
nmXVAAu9,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/balestier-khalsa-lK4UsSns/?mid=nmXVAAu9,Balestier Khalsa,Albirex Niigata,13.04.,07:30,13.04. 07:30
6yp4h2Ps,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/tampines-KbVkFR8P/?mid=6yp4h2Ps,Tampines,Balestier Khalsa,17.04.,07:30,17.04. 07:30
hhrCjtff,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/hougang-SA3Ytn2m/?mid=hhrCjtff,Hougang,Albirex Niigata,18.04.,07:30,18.04. 07:30
lKyLlKO6,https://www.flashscore.com/match/football/geylang-SGUUj41C/tanjong-pagar-tKuMJ4Mc/?mid=lKyLlKO6,Geylang,Tanjong Pagar,19.04.,07:30,19.04. 07:30
MXZSnbgJ,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/young-lions-vsNto8vQ/?mid=MXZSnbgJ,Lion City,Young Lions,20.04.,07:30,20.04. 07:30
xtIFA1oQ,https://www.flashscore.com/match/football/tampines-KbVkFR8P/young-lions-vsNto8vQ/?mid=xtIFA1oQ,Tampines,Young Lions,24.04.,07:30,24.04. 07:30
h6Np5u9m,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/tanjong-pagar-tKuMJ4Mc/?mid=h6Np5u9m,Albirex Niigata,Tanjong Pagar,25.04.,07:30,25.04. 07:30
ELBg3Jw0,https://www.flashscore.com/match/football/geylang-SGUUj41C/lion-city-sailors-OnKeiOGI/?mid=ELBg3Jw0,Geylang,Lion City,26.04.,07:30,26.04. 07:30
MoF11c8C,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/hougang-SA3Ytn2m/?mid=MoF11c8C,Balestier Khalsa,Hougang,27.04.,07:30,27.04. 07:30
ID8AaywP,https://www.flashscore.com/match/football/lion-city-sailors-OnKeiOGI/tampines-KbVkFR8P/?mid=ID8AaywP,Tampines,Lion City,02.05.,07:30,02.05. 07:30
YPrKJvOt,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/geylang-SGUUj41C/?mid=YPrKJvOt,Geylang,Balestier Khalsa,03.05.,07:30,03.05. 07:30
hSbLHIhg,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/young-lions-vsNto8vQ/?mid=hSbLHIhg,Albirex Niigata,Young Lions,04.05.,07:30,04.05. 07:30
0h2TFdN5,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/tanjong-pagar-tKuMJ4Mc/?mid=0h2TFdN5,Tanjong Pagar,Hougang,05.05.,07:30,05.05. 07:30
M7jxEzhI,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/tanjong-pagar-tKuMJ4Mc/?mid=M7jxEzhI,Balestier Khalsa,Tanjong Pagar,09.05.,07:30,09.05. 07:30
UXgpCEMU,https://www.flashscore.com/match/football/geylang-SGUUj41C/young-lions-vsNto8vQ/?mid=UXgpCEMU,Young Lions,Geylang,09.05.,07:30,09.05. 07:30
8bBhGQYo,https://www.flashscore.com/match/football/hougang-SA3Ytn2m/tampines-KbVkFR8P/?mid=8bBhGQYo,Hougang,Tampines,10.05.,07:30,10.05. 07:30
tC90E43b,https://www.flashscore.com/match/football/albirex-niigata-2TtIKp7i/lion-city-sailors-OnKeiOGI/?mid=tC90E43b,Lion City,Albirex Niigata,10.05.,07:30,10.05. 07:30
