season_id,event_id,home_team,away_team,match_date,match_time,ok,match_url
48772,11041308,Tanjong Pagar Utd.,Albirex Niigata,11/08/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tanjong-pagar-united/NkbsGGn#id:11041308
48772,11041309,Albirex Niigata,Lion City Sailors,16/07/2023,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:11041309
48772,11041310,Balestier Khalsa,Tampines Rovers,26/08/2023,06:00,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11041310
48772,11041311,Geylang Int.,Young Lions,19/08/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041311
48772,11041312,Hougang Utd,DPMM,04/08/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041312
48772,11041313,Tampines Rovers,DPMM,18/08/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041313
48772,11041314,Lion City Sailors,Geylang Int.,27/08/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11041314
48772,11041316,Lion City Sailors,Balestier Khalsa,20/12/2025,07:30,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:11041316
48772,11041317,Albirex Niigata,Young Lions,22/07/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-albirex-niigata-singapore/GGnsHGn#id:11041317
48772,11041318,Geylang Int.,Balestier Khalsa,12/08/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:11041318
48772,11041320,Albirex Niigata,Hougang Utd,27/08/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11041320
48772,11041321,Tanjong Pagar Utd.,DPMM,26/08/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11041321
48772,11041322,Lion City Sailors,DPMM,11/07/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-lion-city-sailors/QkbsKGn#id:11041322
48772,11041323,Geylang Int.,Tampines Rovers,02/07/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:11041323
48772,11041324,Tanjong Pagar Utd.,Lion City Sailors,01/07/2023,06:00,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:11041324
48772,11041325,Hougang Utd,Balestier Khalsa,02/07/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-balestier-khalsa/OkbsIGn#id:11041325
48772,11041326,Young Lions,DPMM,12/08/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041326
48772,11041327,Geylang Int.,DPMM,28/06/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-geylang-international/UkbsKGn#id:11041327
48772,11041328,Tampines Rovers,Albirex Niigata,20/12/2025,07:30,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:11041328
48772,11041329,DPMM,Young Lions,24/06/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041329
48772,11041330,Young Lions,Hougang Utd,29/07/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-young-lions/HGnsIGn#id:11041330
48772,11041331,Lion City Sailors,Hougang Utd,25/06/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:11041331
48772,11041332,Balestier Khalsa,Hougang Utd,21/07/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-balestier-khalsa/OkbsIGn#id:11041332
48772,11041333,Hougang Utd,Lion City Sailors,13/08/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:11041333
48772,11041334,Tampines Rovers,Tanjong Pagar Utd.,11/07/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:11041334
48772,11041336,Lion City Sailors,Tanjong Pagar Utd.,20/07/2023,07:45,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:11041336
48772,11041337,Tampines Rovers,Lion City Sailors,04/08/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:11041337
48772,11041338,Tampines Rovers,Geylang Int.,22/07/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:11041338
48772,11041339,DPMM,Geylang Int.,28/07/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-geylang-international/UkbsKGn#id:11041339
48772,11041340,Tanjong Pagar Utd.,Geylang Int.,15/07/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:11041340
48772,11041341,DPMM,Albirex Niigata,11/06/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-albirex-niigata-singapore/GGnsKGn#id:11041341
48772,11041342,Balestier Khalsa,Albirex Niigata,20/08/2023,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:11041342
48772,11041343,Balestier Khalsa,Geylang Int.,23/06/2023,07:45,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:11041343
48772,11041344,Geylang Int.,Albirex Niigata,03/08/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:11041344
48772,11041345,Geylang Int.,Hougang Utd,12/07/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:11041345
48772,11041346,DPMM,Albirex Niigata,08/07/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-albirex-niigata-singapore/GGnsKGn#id:11041346
48772,11041347,Lion City Sailors,Young Lions,10/06/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041347
48772,11041349,Hougang Utd,Tanjong Pagar Utd.,19/08/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:11041349
48772,11041350,Albirex Niigata,Tampines Rovers,28/07/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:11041350
48772,11041351,Young Lions,Tampines Rovers,15/07/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-tampines-rovers/TkbsHGn#id:11041351
48772,11041352,Hougang Utd,Tampines Rovers,06/07/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041352
48772,11041353,Balestier Khalsa,Young Lions,12/07/2023,07:45,1,https://www.sofascore.com/football/match/young-lions-balestier-khalsa/OkbsHGn#id:11041353
48772,11041354,Tanjong Pagar Utd.,Young Lions,05/08/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-tanjong-pagar-united/NkbsHGn#id:11041354
48772,11041355,DPMM,Hougang Utd,07/06/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041355
48772,11041356,Young Lions,Lion City Sailors,07/07/2023,07:45,1,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041356
48772,11041357,DPMM,Balestier Khalsa,16/07/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-balestier-khalsa/OkbsKGn#id:11041357
48772,11041358,Tanjong Pagar Utd.,Balestier Khalsa,06/07/2023,07:45,1,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:11041358
48772,11041359,Balestier Khalsa,Lion City Sailors,01/06/2023,07:45,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:11041359
48772,11041360,Hougang Utd,Young Lions,03/06/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-young-lions/HGnsIGn#id:11041360
48772,11041361,Geylang Int.,Tanjong Pagar Utd.,21/05/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:11041361
48772,11041362,Albirex Niigata,Balestier Khalsa,26/05/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:11041362
48772,11041363,Balestier Khalsa,DPMM,20/05/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-balestier-khalsa/OkbsKGn#id:11041363
48772,11041364,DPMM,Tampines Rovers,28/05/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041364
48772,11041365,Lion City Sailors,Tampines Rovers,07/06/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:11041365
48772,11041366,Young Lions,Albirex Niigata,01/07/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-albirex-niigata-singapore/GGnsHGn#id:11041366
48772,11041367,Young Lions,Geylang Int.,27/05/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041367
48772,11041368,Tampines Rovers,Tanjong Pagar Utd.,14/05/2023,06:00,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:11041368
48772,11041369,DPMM,Lion City Sailors,13/05/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-lion-city-sailors/QkbsKGn#id:11041369
48772,11041370,Hougang Utd,Geylang Int.,12/05/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:11041370
48772,11041371,Tampines Rovers,DPMM,20/04/2023,08:30,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tampines-rovers/TkbsKGn#id:11041371
48772,11041372,Hougang Utd,Tampines Rovers,16/04/2023,08:30,1,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041372
48772,11041373,Geylang Int.,Balestier Khalsa,12/04/2023,08:30,1,https://www.sofascore.com/football/match/geylang-international-balestier-khalsa/OkbsUkb#id:11041373
48772,11041374,Young Lions,Lion City Sailors,15/04/2023,08:30,1,https://www.sofascore.com/football/match/young-lions-lion-city-sailors/QkbsHGn#id:11041374
48772,11041375,Hougang Utd,Lion City Sailors,10/04/2023,08:30,1,https://www.sofascore.com/football/match/hougang-united-lion-city-sailors/QkbsIGn#id:11041375
48772,11041376,Tampines Rovers,Hougang Utd,10/06/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-tampines-rovers/TkbsIGn#id:11041376
48772,11041377,Young Lions,DPMM,11/04/2023,08:30,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-young-lions/HGnsKGn#id:11041377
48772,11041378,Albirex Niigata,Tanjong Pagar Utd.,24/06/2023,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tanjong-pagar-united/NkbsGGn#id:11041378
48772,11041379,Tanjong Pagar Utd.,Hougang Utd,12/01/2026,07:30,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:11041379
48772,11041380,Hougang Utd,DPMM,31/03/2023,08:30,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-hougang-united/IGnsKGn#id:11041380
48772,11041381,Tampines Rovers,Lion City Sailors,31/03/2023,08:30,1,https://www.sofascore.com/football/match/tampines-rovers-lion-city-sailors/QkbsTkb#id:11041381
48772,11041382,Balestier Khalsa,Albirex Niigata,05/04/2023,08:30,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-balestier-khalsa/OkbsGGn#id:11041382
48772,11041383,Geylang Int.,Albirex Niigata,01/04/2023,08:30,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:11041383
48772,11041384,Young Lions,Tanjong Pagar Utd.,06/06/2023,07:45,1,https://www.sofascore.com/football/match/young-lions-tanjong-pagar-united/NkbsHGn#id:11041384
48772,11041385,Albirex Niigata,Tampines Rovers,19/03/2023,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tampines-rovers/TkbsGGn#id:11041385
48772,11041386,Balestier Khalsa,Tanjong Pagar Utd.,11/06/2023,06:00,1,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:11041386
48772,11041387,Albirex Niigata,Geylang Int.,06/06/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-geylang-international/UkbsGGn#id:11041387
48772,11041388,Tanjong Pagar Utd.,Young Lions,01/04/2023,08:30,1,https://www.sofascore.com/football/match/young-lions-tanjong-pagar-united/NkbsHGn#id:11041388
48772,11041389,Lion City Sailors,Albirex Niigata,21/05/2023,06:00,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:11041389
48772,11041390,Lion City Sailors,Balestier Khalsa,18/03/2023,06:00,1,https://www.sofascore.com/football/match/lion-city-sailors-balestier-khalsa/OkbsQkb#id:11041390
48772,11041391,Tanjong Pagar Utd.,Hougang Utd,28/05/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-tanjong-pagar-united/NkbsIGn#id:11041391
48772,11041392,DPMM,Tanjong Pagar Utd.,07/05/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11041392
48772,11041393,Lion City Sailors,Geylang Int.,15/03/2023,07:45,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11041393
48772,11041394,Hougang Utd,Albirex Niigata,06/05/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11041394
48772,11041395,Albirex Niigata,DPMM,15/04/2023,08:30,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-albirex-niigata-singapore/GGnsKGn#id:11041395
48772,11041396,Young Lions,Balestier Khalsa,08/04/2023,08:30,1,https://www.sofascore.com/football/match/young-lions-balestier-khalsa/OkbsHGn#id:11041396
48772,11041398,Tampines Rovers,Young Lions,20/05/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-tampines-rovers/TkbsHGn#id:11041398
48772,11041399,DPMM,Balestier Khalsa,10/03/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-balestier-khalsa/OkbsKGn#id:11041399
48772,11041400,Geylang Int.,Lion City Sailors,07/05/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11041400
48772,11041401,Tanjong Pagar Utd.,Albirex Niigata,10/04/2023,08:30,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-tanjong-pagar-united/NkbsGGn#id:11041401
48772,11041402,Tampines Rovers,Balestier Khalsa,05/05/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11041402
48772,11041403,Albirex Niigata,Lion City Sailors,09/03/2023,07:45,1,https://www.sofascore.com/football/match/albirex-niigata-singapore-lion-city-sailors/QkbsGGn#id:11041403
48772,11041404,Tanjong Pagar Utd.,Balestier Khalsa,16/04/2023,08:30,1,https://www.sofascore.com/football/match/balestier-khalsa-tanjong-pagar-united/NkbsOkb#id:11041404
48772,11041405,Lion City Sailors,DPMM,03/03/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-lion-city-sailors/QkbsKGn#id:11041405
48772,11041406,Young Lions,Tampines Rovers,09/03/2023,07:45,1,https://www.sofascore.com/football/match/young-lions-tampines-rovers/TkbsHGn#id:11041406
48772,11041407,Balestier Khalsa,Hougang Utd,26/02/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-balestier-khalsa/OkbsIGn#id:11041407
48772,11041408,Young Lions,Hougang Utd,18/03/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-young-lions/HGnsIGn#id:11041408
48772,11041409,DPMM,Geylang Int.,19/03/2023,06:00,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-geylang-international/UkbsKGn#id:11041409
48772,11041410,Albirex Niigata,Young Lions,25/02/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-albirex-niigata-singapore/GGnsHGn#id:11041410
48772,11041411,Lion City Sailors,Tanjong Pagar Utd.,24/02/2023,07:45,1,https://www.sofascore.com/football/match/lion-city-sailors-tanjong-pagar-united/NkbsQkb#id:11041411
48772,11041412,Tampines Rovers,Geylang Int.,25/02/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-tampines-rovers/TkbsUkb#id:11041412
48772,11041416,Tanjong Pagar Utd.,Geylang Int.,10/03/2023,07:45,1,https://www.sofascore.com/football/match/geylang-international-tanjong-pagar-united/NkbsUkb#id:11041416
48772,11041417,Balestier Khalsa,Young Lions,04/03/2023,06:00,1,https://www.sofascore.com/football/match/young-lions-balestier-khalsa/OkbsHGn#id:11041417
48772,11041420,Albirex Niigata,Hougang Utd,15/03/2023,07:45,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11041420
48772,11041426,DPMM,Tanjong Pagar Utd.,14/03/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11041426
48772,11041428,Balestier Khalsa,Tampines Rovers,14/03/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11041428
48772,11041431,Geylang Int.,Hougang Utd,05/03/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-geylang-international/UkbsIGn#id:11041431
48772,11041432,Tanjong Pagar Utd.,Tampines Rovers,03/03/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-tanjong-pagar-united/NkbsTkb#id:11041432
48772,11041433,Geylang Int.,Young Lions,28/02/2023,08:15,1,https://www.sofascore.com/football/match/young-lions-geylang-international/UkbsHGn#id:11041433
48772,11557825,Lion City Sailors,Geylang Int.,16/09/2023,06:00,1,https://www.sofascore.com/football/match/geylang-international-lion-city-sailors/QkbsUkb#id:11557825
48772,11557830,Tanjong Pagar Utd.,DPMM,15/09/2023,07:45,1,https://www.sofascore.com/football/match/brunei-dpmm-fc-tanjong-pagar-united/NkbsKGn#id:11557830
48772,11561284,Balestier Khalsa,Tampines Rovers,15/09/2023,07:45,1,https://www.sofascore.com/football/match/tampines-rovers-balestier-khalsa/OkbsTkb#id:11561284
48772,11561285,Albirex Niigata,Hougang Utd,16/09/2023,06:00,1,https://www.sofascore.com/football/match/hougang-united-albirex-niigata-singapore/GGnsIGn#id:11561285
48772,14025220,Everton,Arsenal,20/12/2025,16:00,1,https://www.sofascore.com/football/match/everton-arsenal/RY#id:14025220
48772,14025226,Man City,West Ham,20/12/2025,11:00,1,https://www.sofascore.com/football/match/west-ham-united-manchester-city/rM#id:14025226
48772,14025228,Newcastle,Chelsea,20/12/2025,08:30,1,https://www.sofascore.com/football/match/newcastle-united-chelsea/NO#id:14025228
48772,14025230,Tottenham,Liverpool,20/12/2025,13:30,1,https://www.sofascore.com/football/match/liverpool-tottenham-hotspur/IsU#id:14025230
48772,14083185,Real Madrid,Sevilla,20/12/2025,16:00,1,https://www.sofascore.com/football/match/sevilla-real-madrid/EgbsIgb#id:14083185
48772,15035359,Man Utd,Bournemouth,15/12/2025,16:00,1,https://www.sofascore.com/football/match/bournemouth-manchester-united/Kkb#id:15035359
48772,15200513,Guadalajara,Barcelona,16/12/2025,16:30,1,https://www.sofascore.com/football/match/guadalajara-barcelona/rgbsFLj#id:15200513
